name,url,source,distill,blogdown,publication,presentation,course
BocasBiome,https://bocasbiome.github.io/,https://github.com/bocasbiome/web,1,0,1,0,0
Cacao fermentation,https://jarrodscott.github.io/cacao-fermentation/,https://github.com/jarrodscott/jarrodscott.github.io/tree/main/cacao-fermentation,0,0,0,1,0
Istmobiome,https://istmobiome.rbind.io/,https://github.com/istmobiome/istmobiome-web,0,1,1,0,0
Hypocolypse,https://hypocolypse.github.io/,https://github.com/hypocolypse/web,1,0,1,0,0
ProjectDIGEST,https://projectdigest.github.io/,https://github.com/projectdigest/web,0,0,1,0,0
Rethinking Diversity,https://jarrodscott.github.io/rethink-diversity/rethink-diversity.html,https://github.com/jarrodscott/jarrodscott.github.io/tree/main/rethink-diversity,0,0,0,1,0
How the Isthmus of Panama changed the world,https://jarrodscott.github.io/isthmus-rising/isthmus-rising.html,https://github.com/jarrodscott/jarrodscott.github.io/tree/main/isthmus-rising,0,0,0,1,0
STRI-McGill-NEO-2022,https://jarrodscott.github.io/stri-mcgill-2022/,https://github.com/jarrodscott/stri-mcgill-2022,0,0,0,0,1
STRI-McGill-NEO-2020,https://istmobiome.github.io/neo-bess/web-guide.html,https://github.com/istmobiome/istmobiome.github.io/tree/master/neo-bess,0,0,0,0,1

